fid,id,left,top,right,bottom,row_index,col_index,CNN_30m_0mean
44066,44066,338653.875535156,6533695.8492533,338683.875535156,6533665.8492533,273,136,2.80919142518946
44067,44067,338653.875535156,6533665.8492533,338683.875535156,6533635.8492533,274,136,3.7969646498476
44068,44068,338653.875535156,6533635.8492533,338683.875535156,6533605.8492533,275,136,4.04396083398924
44069,44069,338653.875535156,6533605.8492533,338683.875535156,6533575.8492533,276,136,3.55196207204173
44070,44070,338653.875535156,6533575.8492533,338683.875535156,6533545.8492533,277,136,2.92385847717645
44071,44071,338653.875535156,6533545.8492533,338683.875535156,6533515.8492533,278,136,3.18072085808237
44072,44072,338653.875535156,6533515.8492533,338683.875535156,6533485.8492533,279,136,3.99545515549116
44073,44073,338653.875535156,6533485.8492533,338683.875535156,6533455.8492533,280,136,3.37812022687538
44074,44074,338653.875535156,6533455.8492533,338683.875535156,6533425.8492533,281,136,3.14615111059072
44075,44075,338653.875535156,6533425.8492533,338683.875535156,6533395.8492533,282,136,1.79767348972391
44076,44076,338653.875535156,6533395.8492533,338683.875535156,6533365.8492533,283,136,4.11095020654889
44077,44077,338653.875535156,6533365.8492533,338683.875535156,6533335.8492533,284,136,1.72328176225825
44078,44078,338653.875535156,6533335.8492533,338683.875535156,6533305.8492533,285,136,2.02050303483496
44079,44079,338653.875535156,6533305.8492533,338683.875535156,6533275.8492533,286,136,1.91612859036653
44080,44080,338653.875535156,6533275.8492533,338683.875535156,6533245.8492533,287,136,2.33704381264542
44081,44081,338653.875535156,6533245.8492533,338683.875535156,6533215.8492533,288,136,3.88208874810127
44082,44082,338653.875535156,6533215.8492533,338683.875535156,6533185.8492533,289,136,3.85279552265089
44083,44083,338653.875535156,6533185.8492533,338683.875535156,6533155.8492533,290,136,3.58482008740522
44084,44084,338653.875535156,6533155.8492533,338683.875535156,6533125.8492533,291,136,3.20261923259669
44085,44085,338653.875535156,6533125.8492533,338683.875535156,6533095.8492533,292,136,1.77236186351302
44086,44086,338653.875535156,6533095.8492533,338683.875535156,6533065.8492533,293,136,1.90207355241287
