fid,id,left,top,right,bottom,row_index,col_index,ALS_30m_51mean
"70784","70784",341143.875535156,6533935.8492533,341173.875535156,6533905.8492533,"265","219",0.311769940375071
"70785","70785",341143.875535156,6533905.8492533,341173.875535156,6533875.8492533,"266","219",0.838517855241047
"70786","70786",341143.875535156,6533875.8492533,341173.875535156,6533845.8492533,"267","219",0.877734223322736
"70787","70787",341143.875535156,6533845.8492533,341173.875535156,6533815.8492533,"268","219",0.860271907506718
"70788","70788",341143.875535156,6533815.8492533,341173.875535156,6533785.8492533,"269","219",1.28246088943548
"70789","70789",341143.875535156,6533785.8492533,341173.875535156,6533755.8492533,"270","219",1.03289880596929
"70790","70790",341143.875535156,6533755.8492533,341173.875535156,6533725.8492533,"271","219",0.891036381804281
"70791","70791",341143.875535156,6533725.8492533,341173.875535156,6533695.8492533,"272","219",0.661346775806612
"70792","70792",341143.875535156,6533695.8492533,341173.875535156,6533665.8492533,"273","219",0.682125590013133
"70793","70793",341143.875535156,6533665.8492533,341173.875535156,6533635.8492533,"274","219",1.05807751557893
"70794","70794",341143.875535156,6533635.8492533,341173.875535156,6533605.8492533,"275","219",1.24137426344885
"70795","70795",341143.875535156,6533605.8492533,341173.875535156,6533575.8492533,"276","219",1.63678249375688
"70796","70796",341143.875535156,6533575.8492533,341173.875535156,6533545.8492533,"277","219",1.61787078999811
"70797","70797",341143.875535156,6533545.8492533,341173.875535156,6533515.8492533,"278","219",1.15681142073539
"70798","70798",341143.875535156,6533515.8492533,341173.875535156,6533485.8492533,"279","219",0.759610451857249
"70799","70799",341143.875535156,6533485.8492533,341173.875535156,6533455.8492533,"280","219",0.740390164752801
"70800","70800",341143.875535156,6533455.8492533,341173.875535156,6533425.8492533,"281","219",0.429571943051285
"70801","70801",341143.875535156,6533425.8492533,341173.875535156,6533395.8492533,"282","219",0.408469213801954
"70802","70802",341143.875535156,6533395.8492533,341173.875535156,6533365.8492533,"283","219",0.773889303646154
"70803","70803",341143.875535156,6533365.8492533,341173.875535156,6533335.8492533,"284","219",2.28000378941496
"70804","70804",341143.875535156,6533335.8492533,341173.875535156,6533305.8492533,"285","219",0.958037350840039
