id,left,top,right,bottom,row_index,col_index,CNN_30m_1mean
40819,338353.875535156,6534505.8492533,338383.875535156,6534475.8492533,246,126,3.55506609530931
40820,338353.875535156,6534475.8492533,338383.875535156,6534445.8492533,247,126,5.2841587410004
40821,338353.875535156,6534445.8492533,338383.875535156,6534415.8492533,248,126,4.36141005593903
40822,338353.875535156,6534415.8492533,338383.875535156,6534385.8492533,249,126,3.81269795664822
40823,338353.875535156,6534385.8492533,338383.875535156,6534355.8492533,250,126,2.81699839066384
40824,338353.875535156,6534355.8492533,338383.875535156,6534325.8492533,251,126,4.16843625813843
40825,338353.875535156,6534325.8492533,338383.875535156,6534295.8492533,252,126,2.07638064491506
40826,338353.875535156,6534295.8492533,338383.875535156,6534265.8492533,253,126,1.03505602592899
41090,338383.875535156,6536035.8492533,338413.875535156,6536005.8492533,195,127,3.07317055878064
41091,338383.875535156,6536005.8492533,338413.875535156,6535975.8492533,196,127,2.12183428396176
41092,338383.875535156,6535975.8492533,338413.875535156,6535945.8492533,197,127,1.81216433278301
41093,338383.875535156,6535945.8492533,338413.875535156,6535915.8492533,198,127,1.63392939037494
41094,338383.875535156,6535915.8492533,338413.875535156,6535885.8492533,199,127,1.09777582580288
41095,338383.875535156,6535885.8492533,338413.875535156,6535855.8492533,200,127,1.69335082965197
41096,338383.875535156,6535855.8492533,338413.875535156,6535825.8492533,201,127,1.35023942640354
41097,338383.875535156,6535825.8492533,338413.875535156,6535795.8492533,202,127,1.06107908657619
41098,338383.875535156,6535795.8492533,338413.875535156,6535765.8492533,203,127,1.68027893323061
41099,338383.875535156,6535765.8492533,338413.875535156,6535735.8492533,204,127,1.61750984863767
41100,338383.875535156,6535735.8492533,338413.875535156,6535705.8492533,205,127,2.15546470290721
41101,338383.875535156,6535705.8492533,338413.875535156,6535675.8492533,206,127,4.07229286252236
41102,338383.875535156,6535675.8492533,338413.875535156,6535645.8492533,207,127,2.88277340550081
41103,338383.875535156,6535645.8492533,338413.875535156,6535615.8492533,208,127,3.91128270061696
41104,338383.875535156,6535615.8492533,338413.875535156,6535585.8492533,209,127,4.27647897134112
41105,338383.875535156,6535585.8492533,338413.875535156,6535555.8492533,210,127,4.36882641245452
